date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,bullish,candle_color,candle_streak_count,trend,exchange,pair,timeframe,date_downloaded
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72,22977.84,22527.28,,20642.22,,18022.39,23017.49,22090.04,927.44,1150.23,56.62,22977.84,556.69,24091.23,21864.45,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.31,23072.41,22568.78,,20733.23,,18071.55,23009.1,22154.71,854.4,1091.06,48.9,23072.41,330.54,23733.48,22411.33,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.7,23028.86,22495.21,,20774.92,,18108.61,22822.53,22128.16,694.37,1011.72,39.07,23028.86,429.32,23887.51,22170.22,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94,22970.95,22412.35,,20808.27,,18143.61,22638.32,22090.9,547.42,918.86,37.19,22970.95,530.4,24031.74,21910.15,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58,22928.68,22359.99,,20849.61,,18180.61,22518.97,22073.99,444.98,824.09,40.07,22928.68,583.49,24095.65,21761.7,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65,22872.03,22305.09,,20886.24,,18216.46,22405.83,22052.47,353.35,729.94,31.17,22872.03,637.25,24146.54,21597.53,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.77,22829.09,22254.51,,20921.05,,18251.86,22308.62,22031.84,276.78,639.31,37.75,22829.09,681.62,24192.32,21465.86,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.4,22786.03,22249.3,,20971.2,,18291.14,22291.88,22044.29,247.6,560.96,39.54,22786.03,693.3,24172.62,21399.44,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-15,22199.84,24380.0,22047.28,24324.05,375669.16,22851.75,22446.9,,21102.68,,18351.17,22604.52,22213.16,391.37,527.05,54.98,22851.75,773.29,24398.34,21305.17,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-16,24322.87,25250.0,23505.25,23517.72,450080.68,22873.93,22548.88,,21197.39,,18402.58,22745.02,22309.79,435.22,508.68,50.22,22873.93,786.26,24446.45,21301.42,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-17,23517.72,25021.11,23339.37,24569.97,496813.21,22951.3,22741.36,,21329.65,,18463.95,23025.78,22477.21,548.56,516.66,57.59,22951.3,873.0,24697.31,21205.29,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-18,24568.24,24877.0,24430.0,24631.95,216917.25,22995.78,22921.42,,21459.15,,18525.32,23272.88,22636.82,636.06,540.54,58.75,22995.78,935.83,24867.45,21124.12,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-19,24632.05,25192.0,24192.57,24271.76,300396.0,23068.06,23050.02,21314.18,21569.45,,18582.5,23426.56,22757.93,668.63,566.16,59.02,23068.06,976.96,25021.99,21114.13,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-20,24272.51,25121.23,23840.83,24842.2,346938.57,23153.92,23220.71,21478.69,21697.79,,18644.78,23644.35,22912.32,732.03,599.33,63.3,23153.92,1054.6,25263.13,21044.71,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-21,24843.89,25250.0,24148.34,24452.16,376000.83,23189.89,23337.99,21634.27,21805.81,,18702.57,23768.63,23026.38,742.24,627.91,57.84,23189.89,1087.16,25364.2,21015.58,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-22,24450.67,24476.05,23574.69,24182.21,379425.75,23224.55,23418.39,21784.41,21899.0,,18757.09,23832.25,23112.0,720.25,646.38,57.89,23224.55,1108.04,25440.64,21008.47,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-23,24182.21,24599.59,23608.0,23940.2,398400.45,23249.97,23468.09,21926.21,21979.04,,18808.66,23848.86,23173.35,675.51,652.21,65.76,23249.97,1118.83,25487.62,21012.31,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
