date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,exchange,pair,timeframe,date_downloaded
2017-08-22 12:00:00,3866.48,3990.12,3786.81,3858.23,179.36,4024.02,4016.96,,4141.5,,4280.43,3959.45,4051.08,-91.63,-74.31,23.46,4024.02,107.59,4239.19,3808.85,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-22 16:00:00,3858.23,4104.82,3853.47,3984.24,159.54,4025.35,4013.85,,4135.33,,4277.49,3963.26,4046.13,-82.87,-76.02,40.41,4025.35,106.88,4239.12,3811.59,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-22 20:00:00,3984.5,4061.54,3944.03,4040.0,124.15,4028.75,4016.34,,4131.6,,4275.12,3975.07,4045.67,-70.61,-74.94,43.7,4028.75,106.18,4241.1,3816.4,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 00:00:00,4040.0,4127.99,4013.89,4100.41,159.66,4029.96,4024.34,,4130.37,,4273.38,3994.35,4049.73,-55.38,-71.03,45.39,4029.96,106.88,4243.73,3816.2,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 04:00:00,4084.54,4115.87,4035.32,4074.88,141.84,4026.71,4029.16,,4128.2,,4271.41,4006.74,4051.59,-44.85,-65.79,49.11,4026.71,104.32,4235.34,3818.07,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 08:00:00,4081.63,4242.32,4057.0,4237.99,135.02,4033.88,4049.05,,4132.5,,4271.08,4042.32,4065.4,-23.08,-57.25,59.53,4033.88,113.73,4261.34,3806.41,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 12:00:00,4205.98,4265.8,4150.65,4197.05,237.36,4035.94,4063.14,,4135.03,,4270.34,4066.12,4075.15,-9.03,-47.61,59.54,4035.94,116.4,4268.73,3803.14,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 16:00:00,4226.94,4259.58,4103.51,4117.07,174.64,4036.46,4068.28,,4134.33,,4268.81,4073.96,4078.26,-4.3,-38.94,55.44,4036.46,116.76,4269.98,3802.95,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-23 20:00:00,4136.48,4178.65,4069.8,4114.01,152.62,4035.91,4072.63,,4133.53,,4267.27,4080.12,4080.9,-0.78,-31.31,55.32,4035.91,116.34,4268.6,3803.23,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-24 00:00:00,4147.0,4204.55,4085.01,4113.58,123.52,4033.36,4076.53,,4132.75,,4265.74,4085.27,4083.32,1.94,-24.66,55.03,4033.36,113.91,4261.18,3805.55,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
