strategy_id,date_executed,Period Start,Period End,Initial balance ($),Final balance ($),Performance (%),Hodl performance (%),Performance / Hodl (%),Total trades,Time in position (%),Win rate (%),Max drawdown (trades) (%),Max drawdown (equity) (%),Profit factor,Return / Max drawdown,Sharpe ratio,Sortino ratio,Calmar ratio,Average net PnL (%),Average trades/day,Average trade duration,Best trade (%),Best trade open,Best trade close,Worst trade (%),Worst trade open,Worst trade close,Total winning trades,Total losing trades,Avg PnL win trades (%),Avg PnL lose trades (%),Mean win trade duration,Mean lose trade duration,Max win streak,Max lose streak,Total fees,Biggest fee,Average fee,Open reason: Open long 1,Open reason: Open short 1,Open reason: Open long 2,Close reason: Exit long,Close reason: Exit short
btc_macd_daily_full,2025-08-16T09:43:21.293948,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:43:48.209410,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:43:51.609878,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:44:27.837722,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:44:36.769038,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:44:55.080000,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:46:10.460362,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:46:33.628097,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:01:04.382100,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:11:17.685036,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:11:36.174074,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:15:31.866171,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:18:48.838418,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:21:03.171276,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:21:28.015672,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:22:08.070415,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T10:23:47.282705,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T19:21:12.608118,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T19:27:58.623540,2023-01-01 00:00:00,2025-08-15 00:00:00,1000.0,2297.52,129.75,606.17,-67.46,9,39.08,55.56,-4.97,-16.47,9.31,7.88,1.47,1.4,2.09,14.68,0.009,41 days 13:20:00,50.67,2024-09-20 00:00:00,2024-12-28 00:00:00,-6.8,2024-07-23 00:00:00,2024-08-02 00:00:00,5,4,29.61,-3.98,68 days 14:24:00,7 days 18:00:00,2,2,8.0,1.1,0.89,9,9
